エリア,校舎,在籍,筑駒,開成,麻布,駒東,武蔵,桜蔭,JG,雙葉,豊島岡,渋幕,渋渋,慶普,慶中,慶湘,早稲田,早大学院,早実,聖光,栄光,浅野,フェリス,筑附,広尾,青山,海城,芝,白百合,学習院女,洗足,吉祥女,鴎友,"浦和
明星",灘,1日8校率,男子御三家率,女子御三家率,男四天王（総在籍）,女四天王（総在籍）,筑駒率,開成率,桜蔭率,"神奈川男子
御三家率"
東京,東京 ,357,11,19,17,3,2,13,9,0,21,60,7,4,9,0,25,3,3,13,6,2,0,3,26,6,15,,5,3,1,12,0,26,0,17.65%,10.64%,6.16%,11.48%,12.04%,3.08%,5.32%,3.64%,5.88%
東京,自由が丘,300,4,16,13,20,2,12,10,3,20,20,12,9,17,1,13,1,6,20,13,22,4,3,17,13,9,,4,3,,2,7,24,,26.67%,10.33%,8.33%,17.00%,15.00%,1.33%,5.33%,4.00%,18.33%
東京,成城,232,6,16,8,8,1,7,4,7,12,5,15,4,7,9,6,2,4,11,2,0,0,0,,6,11,,5,2,9,9,21,18,,21.98%,10.78%,7.76%,14.22%,12.93%,2.59%,6.90%,3.02%,5.60%
東京,吉祥寺  ,231,5,18,12,12,3,7,7,7,9,5,12,,9,,6,5,1,5,1,,,2,,4,19,,6,2,,24,8,17,4,28.57%,14.29%,9.09%,19.48%,12.99%,2.16%,7.79%,3.03%,2.60%
東京,練馬,226,2,12,4,4,7,6,13,3,18,8,7,3,5,0,9,2,2,2,,,,1,11,2,30,9,4,5,1,22,1,28,1,21.68%,10.18%,9.73%,11.95%,17.70%,0.88%,5.31%,2.65%,0.88%
神奈川,横浜,224,3,15,7,6,0,8,0,1,10,5,9,9,2,3,3,0,0,20,14,29,13,0,,,4,,4,0,6,0,0,11,3,22.32%,9.82%,4.02%,12.50%,8.48%,1.34%,6.70%,3.57%,28.13%
千葉,西船橋,207,0,6,1,2,1,11,1,1,5,32,1,,2,,10,3,4,1,,,,,5,3,8,,1,2,,,,,,11.11%,3.86%,6.28%,4.83%,8.70%,0.00%,2.90%,5.31%,0.48%
東京,白金高輪,177,2,13,16,6,0,6,3,4,8,17,11,,9,2,7,0,1,12,1,5,0,2,29,11,8,,4,1,3,3,2,15,1,27.12%,16.38%,7.34%,19.77%,11.86%,1.13%,7.34%,3.39%,10.17%
東京,渋谷,173,8,13,10,8,1,10,2,2,5,15,20,6,7,1,4,1,3,9,3,1,1,3,17,5,6,,3,2,2,7,4,10,7,27.17%,13.87%,8.09%,18.50%,10.98%,4.62%,7.51%,5.78%,7.51%
東京,大井町,154,3,13,7,6,1,4,5,0,8,1,5,6,8,1,6,1,1,10,12,12,2,2,12,2,4,9,2,2,5,1,2,10,1,24.68%,13.64%,5.84%,17.53%,11.04%,1.95%,8.44%,2.60%,22.08%
