エリア,校舎,在籍,筑駒,開成,麻布,駒東,武蔵,桜蔭,JG,雙葉,豊島岡,渋幕,渋渋,"
慶普",慶中,慶湘,早稲田,早大学院,早実,聖光,栄光,浅野,フェリス,筑附,広尾,青山,海城,芝,白百合,学習院女,洗足,吉祥女,鴎友,"浦和
明星",灘,1日8校率,男子御三家率,女子御三家率,男四天王（総在籍）,女四天王（総在籍）,筑駒率,開成率,桜蔭率,"神奈川男子
御三家率"
東京,東京 ,385,9,31,18,4,0,18,7,2,19,55,7,1,11,0,25,3,1,19,3,5,1,6,15,7,15,15,11,6,1,4,0,30,1,21.04%,12.73%,7.01%,13.77%,11.95%,2.34%,8.05%,4.68%,7.01%
東京,自由が丘,377,14,23,17,14,1,8,18,3,18,24,22,16,17,8,4,2,2,32,11,18,10,1,32,5,9,18,5,2,23,2,7,24,2,24.93%,10.88%,7.69%,14.59%,12.47%,3.71%,6.10%,2.12%,16.18%
東京,吉祥寺  ,281,12,14,6,17,6,15,2,3,19,8,19,1,6,1,8,6,4,5,0,1,0,2,2,3,18,5,3,0,2,29,2,30,4,22.42%,9.25%,7.12%,15.30%,13.88%,4.27%,4.98%,5.34%,2.14%
東京,成城,259,2,11,6,24,0,7,9,7,14,0,18,4,8,2,8,2,4,5,4,6,0,1,0,4,13,15,3,0,14,12,15,21,0,24.71%,6.56%,8.88%,15.83%,14.29%,0.77%,4.25%,2.70%,5.79%
東京,練馬,254,7,14,5,1,8,6,13,4,25,1,12,1,5,0,15,8,4,5,1,0,1,4,12,4,28,9,2,5,0,20,3,32,0,20.47%,10.63%,9.06%,11.02%,18.90%,2.76%,5.51%,2.36%,2.36%
神奈川,横浜,230,1,10,7,1,0,7,3,0,12,8,5,10,3,1,3,0,2,19,7,30,17,0,8,2,0,3,1,1,10,0,0,11,0,19.57%,7.39%,4.35%,7.83%,9.57%,0.43%,4.35%,3.04%,24.35%
千葉,西船橋,207,3,9,5,0,0,4,6,2,1,41,3,0,4,0,6,0,2,2,1,1,0,2,2,3,7,5,3,0,0,0,0,6,2,12.56%,6.76%,5.80%,6.76%,6.28%,1.45%,4.35%,1.93%,1.45%
東京,巣鴨,202,3,12,7,2,1,9,7,7,21,4,9,0,2,0,5,4,1,1,0,0,1,5,14,0,15,10,12,2,0,11,1,27,0,22.77%,9.90%,11.39%,10.89%,21.78%,1.49%,5.94%,4.46%,0.99%
東京,大井町,190,2,6,3,5,1,3,3,1,7,10,4,1,1,0,7,1,1,12,4,19,2,1,10,7,10,7,4,2,7,2,3,9,0,12.63%,5.26%,3.68%,7.89%,7.37%,1.05%,3.16%,1.58%,25.79%
東京,白金高輪,182,5,11,10,6,0,7,4,2,6,18,8,5,9,1,5,1,1,14,2,5,0,1,25,6,5,9,3,1,1,5,1,13,1,21.98%,11.54%,7.14%,14.84%,10.44%,2.75%,6.04%,3.85%,8.79%
東京,用賀,178,3,8,3,14,3,3,5,2,3,5,17,6,9,0,2,1,0,13,3,3,0,1,12,4,6,10,3,2,8,2,9,8,0,21.35%,7.87%,5.62%,15.73%,7.30%,1.69%,4.49%,1.69%,7.30%
神奈川,大船,175,0,9,7,0,0,3,0,0,2,3,2,8,2,4,1,0,0,10,33,52,11,0,3,3,2,1,1,0,3,0,0,4,1,17.14%,9.14%,1.71%,9.14%,2.86%,0.00%,5.14%,1.71%,54.29%
東京,渋谷,170,6,11,9,13,1,5,4,1,7,13,14,2,4,1,0,3,0,13,4,5,1,3,26,1,6,8,1,5,1,6,2,11,1,26.47%,12.35%,5.88%,20.00%,10.00%,3.53%,6.47%,2.94%,12.94%
